Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group)
Age 25-44,20.1,Age 45-64,18.3
Age 25-44,20.1,Age 65 or older,10.4
Age 45-64,18.3,Age 18-24,11.4
Age 45-64,18.3,Age 25-44,20.1
Age 45-64,18.3,Age 65 or older,10.4
Age 65 or older,10.4,Age 18-24,11.4
Age 65 or older,10.4,Age 25-44,20.1
Age 65 or older,10.4,Age 45-64,18.3
Age 18-24,13.2,Age 25-44,22.0
Age 18-24,13.2,Age 45-64,18.6
Age 18-24,13.2,Age 65 or older,9.8
Age 25-44,22.0,Age 18-24,13.2
Age 25-44,22.0,Age 45-64,18.6
Age 25-44,22.0,Age 65 or older,9.8
Age 45-64,18.6,Age 18-24,13.2
Age 45-64,18.6,Age 25-44,22.0
Age 45-64,18.6,Age 65 or older,9.8
Age 65 or older,9.8,Age 18-24,13.2
Age 65 or older,9.8,Age 25-44,22.0
Age 65 or older,9.8,Age 45-64,18.6
Age 18-24,12.3,Age 25-44,17.7
Age 18-24,12.3,Age 45-64,12.4
Age 18-24,12.3,Age 65 or older,6.2
Age 25-44,17.7,Age 18-24,12.3
Age 25-44,17.7,Age 45-64,12.4
Age 25-44,17.7,Age 65 or older,6.2
Age 45-64,12.4,Age 18-24,12.3
Age 45-64,12.4,Age 25-44,17.7
Age 45-64,12.4,Age 65 or older,6.2
Age 65 or older,6.2,Age 18-24,12.3
Age 65 or older,6.2,Age 25-44,17.7
Age 65 or older,6.2,Age 45-64,12.4
Age 18-24,10.5,Age 25-44,18.0
Age 18-24,10.5,Age 45-64,16.0
Age 18-24,10.5,Age 65 or older,8.5
Age 25-44,18.0,Age 18-24,10.5
Age 25-44,18.0,Age 45-64,16.0
Age 25-44,18.0,Age 65 or older,8.5
Age 45-64,16.0,Age 18-24,10.5
Age 45-64,16.0,Age 25-44,18.0
Age 45-64,16.0,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,10.5
Age 65 or older,8.5,Age 25-44,18.0
Age 65 or older,8.5,Age 45-64,16.0
Age 18-24,11.0,Age 25-44,18.7
Age 18-24,11.0,Age 45-64,17.6
Age 18-24,11.0,Age 65 or older,9.1
Age 25-44,18.7,Age 18-24,11.0
Age 25-44,18.7,Age 45-64,17.6
Age 25-44,18.7,Age 65 or older,9.1
Age 45-64,17.6,Age 18-24,11.0
Age 45-64,17.6,Age 25-44,18.7
Age 45-64,17.6,Age 65 or older,9.1
Age 65 or older,9.1,Age 18-24,11.0
Age 65 or older,9.1,Age 25-44,18.7
Age 65 or older,9.1,Age 45-64,17.6
Age 18-24,18.7,Age 25-44,27.3
Age 18-24,18.7,Age 45-64,24.6
Age 18-24,18.7,Age 65 or older,10.4
Age 25-44,27.3,Age 18-24,18.7
Age 25-44,27.3,Age 45-64,24.6
Age 25-44,27.3,Age 65 or older,10.4
Age 45-64,24.6,Age 18-24,18.7
Age 45-64,24.6,Age 25-44,27.3
Age 45-64,24.6,Age 65 or older,10.4
Age 65 or older,10.4,Age 18-24,18.7
Age 65 or older,10.4,Age 25-44,27.3
Age 65 or older,10.4,Age 45-64,24.6
Age 18-24,13.7,Age 25-44,21.9
Age 18-24,13.7,Age 45-64,19.0
Age 18-24,13.7,Age 65 or older,9.3
Age 25-44,21.9,Age 18-24,13.7
Age 25-44,21.9,Age 45-64,19.0
Age 25-44,21.9,Age 65 or older,9.3
Age 45-64,19.0,Age 18-24,13.7
Age 45-64,19.0,Age 25-44,21.9
Age 45-64,19.0,Age 65 or older,9.3
Age 65 or older,9.3,Age 18-24,13.7
Age 65 or older,9.3,Age 25-44,21.9
Age 65 or older,9.3,Age 45-64,19.0
Age 18-24,14.2,Age 25-44,22.5
Age 18-24,14.2,Age 45-64,19.0
Age 18-24,14.2,Age 65 or older,8.8
Age 25-44,22.5,Age 18-24,14.2
Age 25-44,22.5,Age 45-64,19.0
Age 25-44,22.5,Age 65 or older,8.8
Age 45-64,19.0,Age 18-24,14.2
Age 45-64,19.0,Age 25-44,22.5
Age 45-64,19.0,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,14.2
Age 65 or older,8.8,Age 25-44,22.5
Age 65 or older,8.8,Age 45-64,19.0
Age 18-24,15.6,Age 25-44,32.4
Age 18-24,15.6,Age 45-64,27.8
Age 18-24,15.6,Age 65 or older,12.5
Age 25-44,32.4,Age 18-24,15.6
Age 25-44,32.4,Age 45-64,27.8
Age 25-44,32.4,Age 65 or older,12.5
Age 45-64,27.8,Age 18-24,15.6
Age 45-64,27.8,Age 25-44,32.4
Age 45-64,27.8,Age 65 or older,12.5
Age 65 or older,12.5,Age 18-24,15.6
Age 65 or older,12.5,Age 25-44,32.4
Age 65 or older,12.5,Age 45-64,27.8
Age 18-24,22.6,Age 25-44,29.2
Age 18-24,22.6,Age 45-64,23.6
Age 18-24,22.6,Age 65 or older,11.5
Age 25-44,29.2,Age 18-24,22.6
Age 25-44,29.2,Age 45-64,23.6
Age 25-44,29.2,Age 65 or older,11.5
Age 45-64,23.6,Age 18-24,22.6
Age 45-64,23.6,Age 25-44,29.2
Age 45-64,23.6,Age 65 or older,11.5
Age 65 or older,11.5,Age 18-24,22.6
Age 65 or older,11.5,Age 25-44,29.2
Age 65 or older,11.5,Age 45-64,23.6
Age 18-24,15.1,Age 25-44,24.8
Age 18-24,15.1,Age 45-64,18.7
Age 18-24,15.1,Age 65 or older,7.7
Age 25-44,24.8,Age 18-24,15.1
Age 25-44,24.8,Age 45-64,18.7
Age 25-44,24.8,Age 65 or older,7.7
Age 45-64,18.7,Age 18-24,15.1
Age 45-64,18.7,Age 25-44,24.8
Age 45-64,18.7,Age 65 or older,7.7
Age 65 or older,7.7,Age 18-24,15.1
Age 65 or older,7.7,Age 25-44,24.8
Age 65 or older,7.7,Age 45-64,18.7
Age 18-24,10.4,Age 25-44,17.1
Age 18-24,10.4,Age 45-64,15.1
Age 18-24,10.4,Age 65 or older,8.2
Age 25-44,17.1,Age 18-24,10.4
Age 25-44,17.1,Age 45-64,15.1
Age 25-44,17.1,Age 65 or older,8.2
Age 45-64,15.1,Age 18-24,10.4
Age 45-64,15.1,Age 25-44,17.1
Age 45-64,15.1,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,10.4
Age 65 or older,8.2,Age 25-44,17.1
Age 65 or older,8.2,Age 45-64,15.1
Age 18-24,7.4,Age 25-44,16.6
Age 18-24,7.4,Age 45-64,16.0
Age 18-24,7.4,Age 65 or older,9.3
Age 25-44,16.6,Age 18-24,7.4
Age 25-44,16.6,Age 45-64,16.0
Age 25-44,16.6,Age 65 or older,9.3
Age 45-64,16.0,Age 18-24,7.4
Age 45-64,16.0,Age 25-44,16.6
Age 45-64,16.0,Age 65 or older,9.3
Age 65 or older,9.3,Age 18-24,7.4
Age 65 or older,9.3,Age 25-44,16.6
Age 65 or older,9.3,Age 45-64,16.0
Age 18-24,12.2,Age 25-44,25.6
Age 18-24,12.2,Age 45-64,22.4
Age 18-24,12.2,Age 65 or older,9.6
Age 25-44,25.6,Age 18-24,12.2
Age 25-44,25.6,Age 45-64,22.4
Age 25-44,25.6,Age 65 or older,9.6
Age 45-64,22.4,Age 18-24,12.2
Age 45-64,22.4,Age 25-44,25.6
Age 45-64,22.4,Age 65 or older,9.6
Age 65 or older,9.6,Age 18-24,12.2
Age 65 or older,9.6,Age 25-44,25.6
Age 65 or older,9.6,Age 45-64,22.4
Age 18-24,12.1,Age 25-44,17.7
Age 18-24,12.1,Age 45-64,16.0
Age 18-24,12.1,Age 65 or older,8.3
Age 25-44,17.7,Age 18-24,12.1
Age 25-44,17.7,Age 45-64,16.0
Age 25-44,17.7,Age 65 or older,8.3
Age 45-64,16.0,Age 18-24,12.1
Age 45-64,16.0,Age 25-44,17.7
Age 45-64,16.0,Age 65 or older,8.3
Age 65 or older,8.3,Age 18-24,12.1
Age 65 or older,8.3,Age 25-44,17.7
Age 65 or older,8.3,Age 45-64,16.0
Age 18-24,15.0,Age 25-44,27.9
Age 18-24,15.0,Age 45-64,26.2
Age 18-24,15.0,Age 65 or older,11.4
Age 25-44,27.9,Age 18-24,15.0
Age 25-44,27.9,Age 45-64,26.2
Age 25-44,27.9,Age 65 or older,11.4
Age 45-64,26.2,Age 18-24,15.0
Age 45-64,26.2,Age 25-44,27.9
Age 45-64,26.2,Age 65 or older,11.4
Age 65 or older,11.4,Age 18-24,15.0
Age 65 or older,11.4,Age 25-44,27.9
Age 65 or older,11.4,Age 45-64,26.2
Age 18-24,17.6,Age 25-44,25.5
Age 18-24,17.6,Age 45-64,24.7
Age 18-24,17.6,Age 65 or older,9.5
Age 25-44,25.5,Age 18-24,17.6
Age 25-44,25.5,Age 45-64,24.7
Age 25-44,25.5,Age 65 or older,9.5
Age 45-64,24.7,Age 18-24,17.6
Age 45-64,24.7,Age 25-44,25.5
Age 45-64,24.7,Age 65 or older,9.5
Age 65 or older,9.5,Age 18-24,17.6
Age 65 or older,9.5,Age 25-44,25.5
Age 65 or older,9.5,Age 45-64,24.7
Age 18-24,17.3,Age 25-44,23.8
Age 18-24,17.3,Age 45-64,16.8
Age 18-24,17.3,Age 65 or older,9.0
Age 25-44,23.8,Age 18-24,17.3
Age 25-44,23.8,Age 45-64,16.8
Age 25-44,23.8,Age 65 or older,9.0
Age 45-64,16.8,Age 18-24,17.3
Age 45-64,16.8,Age 25-44,23.8
Age 45-64,16.8,Age 65 or older,9.0
Age 65 or older,9.0,Age 18-24,17.3
Age 65 or older,9.0,Age 25-44,23.8
Age 65 or older,9.0,Age 45-64,16.8
Age 18-24,13.8,Age 25-44,19.4
Age 18-24,13.8,Age 45-64,16.7
Age 18-24,13.8,Age 65 or older,8.0
Age 25-44,19.4,Age 18-24,13.8
Age 25-44,19.4,Age 45-64,16.7
Age 25-44,19.4,Age 65 or older,8.0
Age 45-64,16.7,Age 18-24,13.8
Age 45-64,16.7,Age 25-44,19.4
Age 45-64,16.7,Age 65 or older,8.0
Age 65 or older,8.0,Age 18-24,13.8
Age 65 or older,8.0,Age 25-44,19.4
Age 65 or older,8.0,Age 45-64,16.7
Age 18-24,6.4,Age 25-44,18.6
Age 18-24,6.4,Age 45-64,21.8
Age 18-24,6.4,Age 65 or older,15.1
Age 25-44,18.6,Age 18-24,6.4
Age 25-44,18.6,Age 45-64,21.8
Age 25-44,18.6,Age 65 or older,15.1
Age 45-64,21.8,Age 18-24,6.4
Age 45-64,21.8,Age 25-44,18.6
Age 45-64,21.8,Age 65 or older,15.1
Age 65 or older,15.1,Age 18-24,6.4
Age 65 or older,15.1,Age 25-44,18.6
Age 65 or older,15.1,Age 45-64,21.8
Age 18-24,16.1,Age 25-44,24.4
Age 18-24,16.1,Age 45-64,14.2
Age 18-24,16.1,Age 65 or older,6.7
Age 25-44,24.4,Age 18-24,16.1
Age 25-44,24.4,Age 45-64,14.2
Age 25-44,24.4,Age 65 or older,6.7
Age 45-64,14.2,Age 18-24,16.1
Age 45-64,14.2,Age 25-44,24.4
Age 45-64,14.2,Age 65 or older,6.7
Age 65 or older,6.7,Age 18-24,16.1
Age 65 or older,6.7,Age 25-44,24.4
Age 65 or older,6.7,Age 45-64,14.2
Age 18-24,9.2,Age 25-44,17.3
Age 18-24,9.2,Age 45-64,15.3
Age 18-24,9.2,Age 65 or older,8.0
Age 25-44,17.3,Age 18-24,9.2
Age 25-44,17.3,Age 45-64,15.3
Age 25-44,17.3,Age 65 or older,8.0
Age 45-64,15.3,Age 18-24,9.2
Age 45-64,15.3,Age 25-44,17.3
Age 45-64,15.3,Age 65 or older,8.0
Age 65 or older,8.0,Age 18-24,9.2
Age 65 or older,8.0,Age 25-44,17.3
Age 65 or older,8.0,Age 45-64,15.3
Age 18-24,13.8,Age 25-44,21.7
Age 18-24,13.8,Age 45-64,19.1
Age 18-24,13.8,Age 65 or older,11.1
Age 25-44,21.7,Age 18-24,13.8
Age 25-44,21.7,Age 45-64,19.1
Age 25-44,21.7,Age 65 or older,11.1
Age 45-64,19.1,Age 18-24,13.8
Age 45-64,19.1,Age 25-44,21.7
Age 45-64,19.1,Age 65 or older,11.1
Age 65 or older,11.1,Age 18-24,13.8
Age 65 or older,11.1,Age 25-44,21.7
Age 65 or older,11.1,Age 45-64,19.1
Age 18-24,11.4,Age 25-44,16.4
Age 18-24,11.4,Age 45-64,16.3
Age 18-24,11.4,Age 65 or older,8.2
Age 25-44,16.4,Age 18-24,11.4
Age 25-44,16.4,Age 45-64,16.3
Age 25-44,16.4,Age 65 or older,8.2
Age 45-64,16.3,Age 18-24,11.4
Age 45-64,16.3,Age 25-44,16.4
Age 45-64,16.3,Age 65 or older,8.2
Age 65 or older,8.2,Age 18-24,11.4
Age 65 or older,8.2,Age 25-44,16.4
Age 65 or older,8.2,Age 45-64,16.3
Age 18-24,15.8,Age 25-44,19.4
Age 18-24,15.8,Age 45-64,19.0
Age 18-24,15.8,Age 65 or older,11.6
Age 25-44,19.4,Age 18-24,15.8
Age 25-44,19.4,Age 45-64,19.0
Age 25-44,19.4,Age 65 or older,11.6
Age 45-64,19.0,Age 18-24,15.8
Age 45-64,19.0,Age 25-44,19.4
Age 45-64,19.0,Age 65 or older,11.6
Age 65 or older,11.6,Age 18-24,15.8
Age 65 or older,11.6,Age 25-44,19.4
Age 65 or older,11.6,Age 45-64,19.0
Age 18-24,13.1,Age 25-44,22.8
Age 18-24,13.1,Age 45-64,20.9
Age 18-24,13.1,Age 65 or older,10.5
Age 25-44,22.8,Age 18-24,13.1
Age 25-44,22.8,Age 45-64,20.9
Age 25-44,22.8,Age 65 or older,10.5
Age 45-64,20.9,Age 18-24,13.1
Age 45-64,20.9,Age 25-44,22.8
Age 45-64,20.9,Age 65 or older,10.5
Age 65 or older,10.5,Age 18-24,13.1
Age 65 or older,10.5,Age 25-44,22.8
Age 65 or older,10.5,Age 45-64,20.9
Age 18-24,16.6,Age 25-44,27.6
Age 18-24,16.6,Age 45-64,23.2
Age 18-24,16.6,Age 65 or older,11.1
Age 25-44,27.6,Age 18-24,16.6
Age 25-44,27.6,Age 45-64,23.2
Age 25-44,27.6,Age 65 or older,11.1
Age 45-64,23.2,Age 18-24,16.6
Age 45-64,23.2,Age 25-44,27.6
Age 45-64,23.2,Age 65 or older,11.1
Age 65 or older,11.1,Age 18-24,16.6
Age 65 or older,11.1,Age 25-44,27.6
Age 65 or older,11.1,Age 45-64,23.2
Age 18-24,20.9,Age 25-44,25.3
Age 18-24,20.9,Age 45-64,20.8
Age 18-24,20.9,Age 65 or older,10.1
Age 25-44,25.3,Age 18-24,20.9
Age 25-44,25.3,Age 45-64,20.8
Age 25-44,25.3,Age 65 or older,10.1
Age 45-64,20.8,Age 18-24,20.9
Age 45-64,20.8,Age 25-44,25.3
Age 45-64,20.8,Age 65 or older,10.1
Age 65 or older,10.1,Age 18-24,20.9
Age 65 or older,10.1,Age 25-44,25.3
Age 65 or older,10.1,Age 45-64,20.8
Age 18-24,13.0,Age 25-44,19.8
Age 18-24,13.0,Age 45-64,18.8
Age 18-24,13.0,Age 65 or older,8.3
Age 25-44,19.8,Age 18-24,13.0
Age 25-44,19.8,Age 45-64,18.8
Age 25-44,19.8,Age 65 or older,8.3
Age 45-64,18.8,Age 18-24,13.0
Age 45-64,18.8,Age 25-44,19.8
Age 45-64,18.8,Age 65 or older,8.3
Age 65 or older,8.3,Age 18-24,13.0
Age 65 or older,8.3,Age 25-44,19.8
Age 65 or older,8.3,Age 45-64,18.8
Age 18-24,15.0,Age 25-44,24.2
Age 18-24,15.0,Age 45-64,21.2
Age 18-24,15.0,Age 65 or older,9.6
Age 25-44,24.2,Age 18-24,15.0
Age 25-44,24.2,Age 45-64,21.2
Age 25-44,24.2,Age 65 or older,9.6
Age 45-64,21.2,Age 18-24,15.0
Age 45-64,21.2,Age 25-44,24.2
Age 45-64,21.2,Age 65 or older,9.6
Age 65 or older,9.6,Age 18-24,15.0
Age 65 or older,9.6,Age 25-44,24.2
Age 65 or older,9.6,Age 45-64,21.2
Age 18-24,10.6,Age 25-44,19.8
Age 18-24,10.6,Age 45-64,16.7
Age 18-24,10.6,Age 65 or older,7.6
Age 25-44,19.8,Age 18-24,10.6
Age 25-44,19.8,Age 45-64,16.7
Age 25-44,19.8,Age 65 or older,7.6
Age 45-64,16.7,Age 18-24,10.6
Age 45-64,16.7,Age 25-44,19.8
Age 45-64,16.7,Age 65 or older,7.6
Age 65 or older,7.6,Age 18-24,10.6
Age 65 or older,7.6,Age 25-44,19.8
Age 65 or older,7.6,Age 45-64,16.7
Age 18-24,13.6,Age 25-44,25.0
Age 18-24,13.6,Age 45-64,20.9
Age 18-24,13.6,Age 65 or older,9.7
Age 25-44,25.0,Age 18-24,13.6
Age 25-44,25.0,Age 45-64,20.9
Age 25-44,25.0,Age 65 or older,9.7
Age 45-64,20.9,Age 18-24,13.6
Age 45-64,20.9,Age 25-44,25.0
Age 45-64,20.9,Age 65 or older,9.7
Age 65 or older,9.7,Age 18-24,13.6
Age 65 or older,9.7,Age 25-44,25.0
Age 65 or older,9.7,Age 45-64,20.9
Age 18-24,14.6,Age 25-44,27.7
Age 18-24,14.6,Age 45-64,20.0
Age 18-24,14.6,Age 65 or older,8.4
Age 25-44,27.7,Age 18-24,14.6
Age 25-44,27.7,Age 45-64,20.0
Age 25-44,27.7,Age 65 or older,8.4
Age 45-64,20.0,Age 18-24,14.6
Age 45-64,20.0,Age 25-44,27.7
Age 45-64,20.0,Age 65 or older,8.4
Age 65 or older,8.4,Age 18-24,14.6
Age 65 or older,8.4,Age 25-44,27.7
Age 65 or older,8.4,Age 45-64,20.0
Age 18-24,18.9,Age 25-44,26.9
Age 18-24,18.9,Age 45-64,26.4
Age 18-24,18.9,Age 65 or older,12.1
Age 25-44,26.9,Age 18-24,18.9
Age 25-44,26.9,Age 45-64,26.4
Age 25-44,26.9,Age 65 or older,12.1
Age 45-64,26.4,Age 18-24,18.9
Age 45-64,26.4,Age 25-44,26.9
Age 45-64,26.4,Age 65 or older,12.1
Age 65 or older,12.1,Age 18-24,18.9
Age 65 or older,12.1,Age 25-44,26.9
Age 65 or older,12.1,Age 45-64,26.4
Age 18-24,12.7,Age 25-44,21.1
Age 18-24,12.7,Age 45-64,15.6
Age 18-24,12.7,Age 65 or older,6.7
Age 25-44,21.1,Age 18-24,12.7
Age 25-44,21.1,Age 45-64,15.6
Age 25-44,21.1,Age 65 or older,6.7
Age 45-64,15.6,Age 18-24,12.7
Age 45-64,15.6,Age 25-44,21.1
Age 45-64,15.6,Age 65 or older,6.7
Age 65 or older,6.7,Age 18-24,12.7
Age 65 or older,6.7,Age 25-44,21.1
Age 65 or older,6.7,Age 45-64,15.6
Age 18-24,7.7,Age 25-44,10.4
Age 18-24,7.7,Age 45-64,9.6
Age 18-24,7.7,Age 65 or older,5.1
Age 25-44,10.4,Age 18-24,7.7
Age 25-44,10.4,Age 45-64,9.6
Age 25-44,10.4,Age 65 or older,5.1
Age 45-64,9.6,Age 18-24,7.7
Age 45-64,9.6,Age 25-44,10.4
Age 45-64,9.6,Age 65 or older,5.1
Age 65 or older,5.1,Age 18-24,7.7
Age 65 or older,5.1,Age 25-44,10.4
Age 65 or older,5.1,Age 45-64,9.6
Age 18-24,12.9,Age 25-44,23.9
Age 18-24,12.9,Age 45-64,15.6
Age 18-24,12.9,Age 65 or older,8.1
Age 25-44,23.9,Age 18-24,12.9
Age 25-44,23.9,Age 45-64,15.6
Age 25-44,23.9,Age 65 or older,8.1
Age 45-64,15.6,Age 18-24,12.9
Age 45-64,15.6,Age 25-44,23.9
Age 45-64,15.6,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,12.9
Age 65 or older,8.1,Age 25-44,23.9
Age 65 or older,8.1,Age 45-64,15.6
Age 18-24,12.8,Age 25-44,20.3
Age 18-24,12.8,Age 45-64,18.2
Age 18-24,12.8,Age 65 or older,8.8
Age 25-44,20.3,Age 18-24,12.8
Age 25-44,20.3,Age 45-64,18.2
Age 25-44,20.3,Age 65 or older,8.8
Age 45-64,18.2,Age 18-24,12.8
Age 45-64,18.2,Age 25-44,20.3
Age 45-64,18.2,Age 65 or older,8.8
Age 65 or older,8.8,Age 18-24,12.8
Age 65 or older,8.8,Age 25-44,20.3
Age 65 or older,8.8,Age 45-64,18.2
Age 18-24,9.9,Age 25-44,17.1
Age 18-24,9.9,Age 45-64,15.1
Age 18-24,9.9,Age 65 or older,6.7
Age 25-44,17.1,Age 18-24,9.9
Age 25-44,17.1,Age 45-64,15.1
Age 25-44,17.1,Age 65 or older,6.7
Age 45-64,15.1,Age 18-24,9.9
Age 45-64,15.1,Age 25-44,17.1
Age 45-64,15.1,Age 65 or older,6.7
Age 65 or older,6.7,Age 18-24,9.9
Age 65 or older,6.7,Age 25-44,17.1
Age 65 or older,6.7,Age 45-64,15.1
Age 18-24,28.6,Age 25-44,35.8
Age 18-24,28.6,Age 45-64,27.2
Age 18-24,28.6,Age 65 or older,11.2
Age 25-44,35.8,Age 18-24,28.6
Age 25-44,35.8,Age 45-64,27.2
Age 25-44,35.8,Age 65 or older,11.2
Age 45-64,27.2,Age 18-24,28.6
Age 45-64,27.2,Age 25-44,35.8
Age 45-64,27.2,Age 65 or older,11.2
Age 65 or older,11.2,Age 18-24,28.6
Age 65 or older,11.2,Age 25-44,35.8
Age 65 or older,11.2,Age 45-64,27.2
Age 18-24,12.6,Age 25-44,20.0
Age 18-24,12.6,Age 45-64,18.7
Age 18-24,12.6,Age 65 or older,8.0
Age 25-44,20.0,Age 18-24,12.6
Age 25-44,20.0,Age 45-64,18.7
Age 25-44,20.0,Age 65 or older,8.0
Age 45-64,18.7,Age 18-24,12.6
Age 45-64,18.7,Age 25-44,20.0
Age 45-64,18.7,Age 65 or older,8.0
Age 65 or older,8.0,Age 18-24,12.6
Age 65 or older,8.0,Age 25-44,20.0
Age 65 or older,8.0,Age 45-64,18.7
Age 18-24,21.1,Age 25-44,23.9
Age 18-24,21.1,Age 45-64,17.8
Age 18-24,21.1,Age 65 or older,10.1
Age 25-44,23.9,Age 18-24,21.1
Age 25-44,23.9,Age 45-64,17.8
Age 25-44,23.9,Age 65 or older,10.1
Age 45-64,17.8,Age 18-24,21.1
Age 45-64,17.8,Age 25-44,23.9
Age 45-64,17.8,Age 65 or older,10.1
Age 65 or older,10.1,Age 18-24,21.1
Age 65 or older,10.1,Age 25-44,23.9
Age 65 or older,10.1,Age 45-64,17.8
Age 18-24,13.2,Age 25-44,24.9
Age 18-24,13.2,Age 45-64,22.2
Age 18-24,13.2,Age 65 or older,9.7
Age 25-44,24.9,Age 18-24,13.2
Age 25-44,24.9,Age 45-64,22.2
Age 25-44,24.9,Age 65 or older,9.7
Age 45-64,22.2,Age 18-24,13.2
Age 45-64,22.2,Age 25-44,24.9
Age 45-64,22.2,Age 65 or older,9.7
Age 65 or older,9.7,Age 18-24,13.2
Age 65 or older,9.7,Age 25-44,24.9
Age 65 or older,9.7,Age 45-64,22.2
Age 18-24,16.9,Age 25-44,22.1
Age 18-24,16.9,Age 45-64,19.4
Age 18-24,16.9,Age 65 or older,12.8
Age 25-44,22.1,Age 18-24,16.9
Age 25-44,22.1,Age 45-64,19.4
Age 25-44,22.1,Age 65 or older,12.8
Age 45-64,19.4,Age 18-24,16.9
Age 45-64,19.4,Age 25-44,22.1
Age 45-64,19.4,Age 65 or older,12.8
Age 65 or older,12.8,Age 18-24,16.9
Age 65 or older,12.8,Age 25-44,22.1
Age 65 or older,12.8,Age 45-64,19.4
Age 18-24,8.6,Age 25-44,17.7
Age 18-24,8.6,Age 45-64,16.3
Age 18-24,8.6,Age 65 or older,8.6
Age 25-44,17.7,Age 18-24,8.6
Age 25-44,17.7,Age 45-64,16.3
Age 25-44,17.7,Age 65 or older,8.6
Age 45-64,16.3,Age 18-24,8.6
Age 45-64,16.3,Age 25-44,17.7
Age 45-64,16.3,Age 65 or older,8.6
Age 65 or older,8.6,Age 18-24,8.6
Age 65 or older,8.6,Age 25-44,17.7
Age 65 or older,8.6,Age 45-64,16.3
Age 18-24,16.4,Age 25-44,30.4
Age 18-24,16.4,Age 45-64,26.1
Age 18-24,16.4,Age 65 or older,10.1
Age 25-44,30.4,Age 18-24,16.4
Age 25-44,30.4,Age 45-64,26.1
Age 25-44,30.4,Age 65 or older,10.1
Age 45-64,26.1,Age 18-24,16.4
Age 45-64,26.1,Age 25-44,30.4
Age 45-64,26.1,Age 65 or older,10.1
Age 65 or older,10.1,Age 18-24,16.4
Age 65 or older,10.1,Age 25-44,30.4
Age 65 or older,10.1,Age 45-64,26.1
Age 18-24,9.0,Age 25-44,13.9
Age 18-24,9.0,Age 45-64,12.4
Age 18-24,9.0,Age 65 or older,5.8
Age 25-44,13.9,Age 18-24,9.0
Age 25-44,13.9,Age 45-64,12.4
Age 25-44,13.9,Age 65 or older,5.8
Age 45-64,12.4,Age 18-24,9.0
Age 45-64,12.4,Age 25-44,13.9
Age 45-64,12.4,Age 65 or older,5.8
Age 65 or older,5.8,Age 18-24,9.0
Age 65 or older,5.8,Age 25-44,13.9
Age 65 or older,5.8,Age 45-64,12.4
Age 18-24,14.7,Age 25-44,17.8
Age 18-24,14.7,Age 45-64,14.4
Age 18-24,14.7,Age 65 or older,7.8
Age 25-44,17.8,Age 18-24,14.7
Age 25-44,17.8,Age 45-64,14.4
Age 25-44,17.8,Age 65 or older,7.8
Age 45-64,14.4,Age 18-24,14.7
Age 45-64,14.4,Age 25-44,17.8
Age 45-64,14.4,Age 65 or older,7.8
Age 65 or older,7.8,Age 18-24,14.7
Age 65 or older,7.8,Age 25-44,17.8
Age 65 or older,7.8,Age 45-64,14.4
Age 18-24,10.1,Age 25-44,15.9
Age 18-24,10.1,Age 45-64,13.5
Age 18-24,10.1,Age 65 or older,6.0
Age 25-44,15.9,Age 18-24,10.1
Age 25-44,15.9,Age 45-64,13.5
Age 25-44,15.9,Age 65 or older,6.0
Age 45-64,13.5,Age 18-24,10.1
Age 45-64,13.5,Age 25-44,15.9
Age 45-64,13.5,Age 65 or older,6.0
Age 65 or older,6.0,Age 18-24,10.1
Age 65 or older,6.0,Age 25-44,15.9
Age 65 or older,6.0,Age 45-64,13.5
Age 18-24,10.5,Age 25-44,22.3
Age 18-24,10.5,Age 45-64,18.8
Age 18-24,10.5,Age 65 or older,8.5
Age 25-44,22.3,Age 18-24,10.5
Age 25-44,22.3,Age 45-64,18.8
Age 25-44,22.3,Age 65 or older,8.5
Age 45-64,18.8,Age 18-24,10.5
Age 45-64,18.8,Age 25-44,22.3
Age 45-64,18.8,Age 65 or older,8.5
Age 65 or older,8.5,Age 18-24,10.5
Age 65 or older,8.5,Age 25-44,22.3
Age 65 or older,8.5,Age 45-64,18.8
Age 18-24,No Data,Age 25-44,14.0
Age 18-24,No Data,Age 45-64,18.6
Age 18-24,No Data,Age 65 or older,11.8
Age 25-44,14.0,Age 18-24,No Data
Age 25-44,14.0,Age 45-64,18.6
Age 25-44,14.0,Age 65 or older,11.8
Age 45-64,18.6,Age 18-24,No Data
Age 45-64,18.6,Age 25-44,14.0
Age 45-64,18.6,Age 65 or older,11.8
Age 65 or older,11.8,Age 18-24,No Data
Age 65 or older,11.8,Age 25-44,14.0
Age 65 or older,11.8,Age 45-64,18.6
Age 18-24,9.4,Age 25-44,17.2
Age 18-24,9.4,Age 45-64,18.7
Age 18-24,9.4,Age 65 or older,8.1
Age 25-44,17.2,Age 18-24,9.4
Age 25-44,17.2,Age 45-64,18.7
Age 25-44,17.2,Age 65 or older,8.1
Age 45-64,18.7,Age 18-24,9.4
Age 45-64,18.7,Age 25-44,17.2
Age 45-64,18.7,Age 65 or older,8.1
Age 65 or older,8.1,Age 18-24,9.4
Age 65 or older,8.1,Age 25-44,17.2
